sample_id,source,cell_type,method,description,path_R1,path_R2,md5sum_R1,md5sum_R2,internal_path,sequencing_facility,batch_id,target_depth,indexing_pcr_cycles,ng_dna_for_prep,ng_unmethylated_lambda
Healthy_NU-41-cfDNA,plasma,cfdna,bsseq,,NU-41-cfDNA_R1.fastq.gz,NU-41-cfDNA_R2.fastq.gz,5954375861afb4a2f25c1d350045600c,8b12d556cd81b650b4bd835ed76c7be4,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,P2002299_05242021,30x,7,63.5,0.3175
Healthy_NU-20-cfDNA,plasma,cfdna,bsseq,,NU-20-cfDNA_R1.fastq.gz,NU-20-cfDNA_R2.fastq.gz,d62b7f04e681cc0c2cd8975f951ecc18,30385c9b26182abf9952c53cf7d95b8d,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,P2002299_05242021,30x,7,57.2,0.286
Healthy_NU-44-cfDNA,plasma,cfdna,bsseq,,NU-44-cfDNA_R1.fastq.gz,NU-44-cfDNA_R2.fastq.gz,58eda5a5141da455117b2b1693628c70,d95807f0b18c98eeb5b05d4f8d04ce12,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,P2002299_05242021,30x,7,108.8,0.544
Healthy_NU-45-cfDNA,plasma,cfdna,bsseq,,NU-45-cfDNA_R1.fastq.gz,NU-45-cfDNA_R2.fastq.gz,7e708aded2288a55227189585dedef85,acc033437438201137a9923111984723,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,P2002299_05242021,30x,7,82.8,0.414
Healthy_NU-46-cfDNA,plasma,cfdna,bsseq,,NU-46-cfDNA_R1.fastq.gz,NU-46-cfDNA_R2.fastq.gz,cd2178ed263000c65910895ad2513c20,ccfe460ba14f399c7814cb8b5c864323,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,P2002299_05242021,30x,7,77,0.385
Healthy_NU-47-cfDNA,plasma,cfdna,bsseq,,NU-47-cfDNA_R1.fastq.gz,NU-47-cfDNA_R2.fastq.gz,bd141ea281b253779aef9c3742cd65a7,46880885ee9a9c71717c9c28b6434388,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,P2002299_05242021,30x,7,47.6,0.238
Healthy_NU-48-cfDNA,plasma,cfdna,bsseq,,NU-48-cfDNA_R1.fastq.gz,NU-48-cfDNA_R2.fastq.gz,393984e4b9a3be1d830edcc03be0ce8f,8933e8c257bb9356d3a9e587eaa17e36,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,P2002299_05242021,30x,7,82.6,0.413
Healthy_NU-05-Bulk-WB,whole_blood,bulk,bsseq,,NU-05-Bulk-WB_R1.fastq.gz,NU-05-Bulk-WB_R2.fastq.gz,302536b030052dafbf3a3e1dccf5d86a,2627b8c5cfa60fccb785170e193224d0,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,P2002299_05242021,30x,7,100,0.5
Healthy_NU-14-Bulk-WB,whole_blood,bulk,bsseq,,NU-14-Bulk-WB_R1.fastq.gz,NU-14-Bulk-WB_R2.fastq.gz,69ebb6f388b572262aee3e9dd1334775,9f4f758b0f1ba0c21b7dd4f39716f032,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,P2002299_05242021,30x,7,100,0.5
Healthy_NU-31-Bulk-WB,whole_blood,bulk,bsseq,,NU-31-Bulk-WB_R1.fastq.gz,NU-31-Bulk-WB_R2.fastq.gz,aac0711b8e0ed03f50f1407e33a9718c,345ea2d4752f465d29703e3c02ac0802,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,P2002299_05242021,30x,7,100,0.5
Healthy_NU-24-Bulk-WB,whole_blood,bulk,bsseq,,NU-24-Bulk-WB_R1.fastq.gz,NU-24-Bulk-WB_R2.fastq.gz,302c3d9b9d2b6923b3250695038ec016,e6d54d02c6074b2875d64afb1ce57c94,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,P2002299_05242021,30x,7,100,0.5
Healthy_NU-35-Bulk-WB,whole_blood,bulk,bsseq,,NU-35-Bulk-WB_R1.fastq.gz,NU-35-Bulk-WB_R2.fastq.gz,9f1a29d8849a13ce093d088677380aed,0527a7eede8e9007c0b4f998e562f4ed,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,P2002299_05242021,30x,7,100,0.5
Healthy_NU-41-Bulk-WB,whole_blood,bulk,bsseq,,NU-41-Bulk-WB_R1.fastq.gz,NU-41-Bulk-WB_R2.fastq.gz,3abf6351451485f46575c0959115451a,c3bc153d46781fed0a9c686c04e5bd35,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,P2002299_05242021,30x,7,100,0.5
Healthy_NU-20-Bulk-WB,whole_blood,bulk,bsseq,,NU-20-Bulk-WB_R1.fastq.gz,NU-20-Bulk-WB_R2.fastq.gz,d098bb2ef19a0851b2def9e44a7328d9,0b9bbe00f4c26979b9e146bea4c2e396,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,P2002299_05242021,30x,7,100,0.5
Healthy_NU-44-Bulk-WB,whole_blood,bulk,bsseq,,NU-44-Bulk-WB_R1.fastq.gz,NU-44-Bulk-WB_R2.fastq.gz,3d3bda704f19c4ff8bd7eda493627fdf,c1c7974231efe7c6ea0dd9f4b6626dd0,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,P2002299_05242021,30x,7,100,0.5
Healthy_NU-45-Bulk-WB,whole_blood,bulk,bsseq,,NU-45-Bulk-WB_R1.fastq.gz,NU-45-Bulk-WB_R2.fastq.gz,7a48af62fdd6fb4499a2d9165e42898b,2b9350265e0a58fc9dad9bfe09a94b02,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,P2002299_05242021,30x,7,100,0.5
Healthy_NU-46-Bulk-WB,whole_blood,bulk,bsseq,,NU-46-Bulk-WB_R1.fastq.gz,NU-46-Bulk-WB_R2.fastq.gz,3c6551d23c0d588b5cf339b39b008c52,9004fb3a17c4f279186d2104582a1cc2,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,P2002299_05242021,30x,7,100,0.5
Healthy_NU-47-Bulk-WB,whole_blood,bulk,bsseq,,NU-47-Bulk-WB_R1.fastq.gz,NU-47-Bulk-WB_R2.fastq.gz,da6db27671a485418e562aa55f8e4ee5,d4d76b9e425b0b3b5253242dd0360ec2,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,P2002299_05242021,30x,7,100,0.5
Healthy_NU-48-Bulk-WB,whole_blood,bulk,bsseq,,NU-48-Bulk-WB_R1.fastq.gz,NU-48-Bulk-WB_R2.fastq.gz,2fc40582a88e6ee28a9168e45556c4fc,18ee17bf48d815a4128acd88b342aab0,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,P2002299_05242021,30x,7,100,0.5
Healthy_NU-03-PBMC,pbmc,bulk,bsseq,,,,,,,medgenome,,30x,7,100,0.5
Healthy_NU-14-PBMC,pbmc,bulk,bsseq,,,,,,,medgenome,,30x,7,100,0.5
Healthy_NU-24-PBMC,pbmc,bulk,bsseq,,,,,,,medgenome,,30x,7,100,0.5
Healthy_NU-31-PBMC,pbmc,bulk,bsseq,,,,,,,medgenome,,30x,7,100,0.5
Healthy_NU-49-PBMC,pbmc,bulk,bsseq,,,,,,,medgenome,,30x,7,100,0.5
Healthy_NU-50-PBMC,pbmc,bulk,bsseq,,,,,,,medgenome,,30x,7,100,0.5
Healthy_NU-51-PBMC,pbmc,bulk,bsseq,,,,,,,medgenome,,30x,7,100,0.5
Healthy_EM-cfDNA-30,plasma,cfdna,emseq,,,,,,,medgenome,,30x,7,30,0.15
Healthy_EM-cfDNA-10,plasma,cfdna,emseq,,,,,,,medgenome,,30x,8,10,0.05
Healthy_EM-cfDNA-3,plasma,cfdna,emseq,,,,,,,medgenome,,30x,9,3,0.015
Healthy_EM-Seq-10,plasma,cfdna,emseq,,,,,,,medgenome,,30x,8,10,0.05
Healthy_EM-Seq-5,plasma,cfdna,emseq,,,,,,,medgenome,,30x,9,5,0.025
Healthy_EM-Seq-3,plasma,cfdna,emseq,,,,,,,medgenome,,30x,9,3,0.015
Healthy_EM-Seq-1,plasma,cfdna,emseq,,,,,,,medgenome,,30x,9,1,0.005
Healthy_BS-Spike-10,plasma,cfdna,bsseq,,,,,,,medgenome,,30x,8,10,0.05
Healthy_BS-Spike-5,plasma,cfdna,bsseq,,,,,,,medgenome,,30x,10,5,0.025
Healthy_BS-Spike-1,plasma,cfdna,bsseq,,,,,,,medgenome,,30x,10,1,0.005
Healthy_Nu-13-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
Healthy_Nu-16-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
Healthy_Nu-18-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
Healthy_Nu-20-PBMC,pbmc,bulk,emseq,,,,,,,medgenome,,30x,6,100,0.5
